,title,author
0,The Hunger Games,Suzanne Collins
1,Harry Potter and the Order of the Phoenix,J.K. Rowling
2,To Kill a Mockingbird,Harper Lee
3,Pride and Prejudice,Jane Austen
4,Twilight,Stephenie Meyer
5,The Book Thief,Markus Zusak 
6,Animal Farm,George Orwell
7,The Chronicles of Narnia,C.S. Lewis
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien
9,Gone with the Wind,Margaret Mitchell
10,The Fault in Our Stars,John Green 
11,The Hitchhiker's Guide to the Galaxy,Douglas Adams
12,The Giving Tree,Shel Silverstein
13,Wuthering Heights,Emily Brontë
14,The Da Vinci Code,Dan Brown 
15,Memoirs of a Geisha,Arthur Golden
16,The Picture of Dorian Gray,Oscar Wilde
17,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll
18,Jane Eyre,Charlotte Brontë
19,Les Misérables,Victor Hugo
20,Fahrenheit 451,Ray Bradbury
21,Divergent,Veronica Roth 
22,Lord of the Flies,William Golding
23,Romeo and Juliet,William Shakespeare
24,The Alchemist,Paulo Coelho 
25,Crime and Punishment,Fyodor Dostoyevsky
26,The Perks of Being a Wallflower,Stephen Chbosky
27,The Great Gatsby,F. Scott Fitzgerald
28,City of Bones,Cassandra Clare 
29,Ender's Game,Orson Scott Card
30,The Help,Kathryn Stockett 
31,Anne of Green Gables,L.M. Montgomery
32,Harry Potter and the Sorcerer's Stone,J.K. Rowling
33,The Little Prince,Antoine de Saint-Exupéry
34,Charlotte's Web,E.B. White
35,Of Mice and Men,John Steinbeck
36,The Time Traveler's Wife,Audrey Niffenegger 
37,Dracula,Bram Stoker
38,Brave New World,Aldous Huxley
39,One Hundred Years of Solitude,Gabriel García Márquez
40,The Catcher in the Rye,J.D. Salinger
41,The Princess Bride,William Goldman
42,The Lightning Thief,Rick Riordan 
43,The Secret Garden,Frances Hodgson Burnett
44,A Thousand Splendid Suns,Khaled Hosseini 
45,A Wrinkle in Time,Madeleine L'Engle
46,A Game of Thrones,George R.R. Martin
47,The Adventures of Huckleberry Finn,Mark Twain
48,The Lovely Bones,Alice Sebold
49,The Outsiders,S.E. Hinton 
50,Where the Wild Things Are,Maurice Sendak
51,Green Eggs and Ham,Dr. Seuss
52,The Odyssey,Homer
53,Life of Pi,Yann Martel
54,A Tale of Two Cities,Charles Dickens
55,Water for Elephants,Sara Gruen 
56,Lolita,Vladimir Nabokov
57,Slaughterhouse-Five,Kurt Vonnegut Jr.
58,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley
59,The Kite Runner,Khaled Hosseini 
60,The Handmaid's Tale,Margaret Atwood 
61,The Giver,Lois Lowry 
62,Catch-22,Joseph Heller
63,Dune,Frank Herbert
64,The Pillars of the Earth,Ken Follett 
65,The Stand,Stephen King 
66,The Adventures of Sherlock Holmes,Arthur Conan Doyle
67,Watership Down,Richard Adams
68,Great Expectations,Charles Dickens
69,Little Women,Louisa May Alcott
70,The Bell Jar,Sylvia Plath
71,Harry Potter and the Deathly Hallows,J.K. Rowling
72,One Flew Over the Cuckoo's Nest,Ken Kesey
73,Anna Karenina,Leo Tolstoy
74,Outlander,Diana Gabaldon 
75,My Sister's Keeper,Jodi Picoult 
76,Matilda,Roald Dahl
77,The Fellowship of the Ring,J.R.R. Tolkien
78,The Girl with the Dragon Tattoo,Stieg Larsson
79,Rebecca,Daphne du Maurier
80,1984,George Orwell
81,The Color Purple,Alice Walker
82,A Tree Grows in Brooklyn,Betty Smith
83,A Clockwork Orange,Anthony Burgess
84,The Road,Cormac McCarthy
85,The Brothers Karamazov,Fyodor Dostoyevsky
86,Angela's Ashes,Frank McCourt
87,Vampire Academy,Richelle Mead 
88,Siddhartha,Hermann Hesse
89,The Poisonwood Bible,Barbara Kingsolver
90,The Golden Compass,Philip Pullman
91,Don Quixote,Miguel de Cervantes Saavedra
92,Atlas Shrugged,Ayn Rand
93,Harry Potter and the Prisoner of Azkaban,J.K. Rowling
94,The Old Man and the Sea,Ernest Hemingway
95,The Notebook,Nicholas Sparks 
96,Winnie-the-Pooh,A.A. Milne
97,The Complete Stories and Poems,Edgar Allan Poe
98,Interview with the Vampire,Anne Rice
99,A Prayer for Owen Meany,John Irving 
100,"Moby-Dick or, the Whale",Herman Melville
101,The Red Tent,Anita Diamant 
102,The Secret Life of Bees,Sue Monk Kidd 
103,Harry Potter and the Goblet of Fire,J.K. Rowling
104,Clockwork Angel,Cassandra Clare 
105,Harry Potter and the Half-Blood Prince,J.K. Rowling
106,And Then There Were None,Agatha Christie
107,Middlesex,Jeffrey Eugenides
108,The Stranger,Albert Camus
109,The Master and Margarita,Mikhail Bulgakov
110,The Name of the Wind,Patrick Rothfuss 
111,The Shining,Stephen King 
112,The Adventures of Tom Sawyer,Mark Twain
113,Eragon,Christopher Paolini 
114,Charlie and the Chocolate Factory,Roald Dahl
115,Flowers for Algernon,Daniel Keyes
116,On the Road,Jack Kerouac
117,The Metamorphosis,Franz Kafka
118,Looking for Alaska,John Green 
119,The Shadow of the Wind,Carlos Ruiz Zafón
120,The Curious Incident of the Dog in the Night-Time,Mark Haddon
121,The Very Hungry Caterpillar,Eric Carle
122,Tuesdays with Morrie,Mitch Albom 
123,The Unbearable Lightness of Being,Milan Kundera
124,The Name of the Rose,Umberto Eco
125,Where the Red Fern Grows,Wilson Rawls
126,Harry Potter and the Chamber of Secrets,J.K. Rowling
127,The Godfather,Mario Puzo
128,The Scarlet Letter,Nathaniel Hawthorne
129,In Cold Blood,Truman Capote
130,Fight Club,Chuck Palahniuk 
131,The Five People You Meet in Heaven,Mitch Albom 
132,"Hush, Hush",Becca Fitzpatrick 
133,The Cat in the Hat,Dr. Seuss
134,American Gods,Neil Gaiman 
135,The Count of Monte Cristo,Alexandre Dumas
136,Lonesome Dove,Larry McMurtry
137,Perfume: The Story of a Murderer,Patrick Süskind
138,Holes,Louis Sachar 
139,"The Lion, the Witch and the Wardrobe",C.S. Lewis
140,Watchmen,Alan Moore 
141,It,Stephen King 
142,The Last Olympian,Rick Riordan 
144,The Divine Comedy,Dante Alighieri
145,Peter Pan,J.M. Barrie
146,All Quiet on the Western Front,Erich Maria Remarque
147,"The Hobbit, or There and Back Again",J.R.R. Tolkien
148,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company
